"X","term","courseid","num.depts","sectionid","has.disc","has.lab","enrolled","capacity","component","dept","number","title","units","time.start","time.end","building","meetings"
44,1500,22923,3,8973,FALSE,FALSE,11,18,"SEM","AMI","344S","DEATH AND IDENTITY","1","13:25","14:40","7704","TuTh"
45,1500,16082,2,2699,FALSE,FALSE,43,40,"LEC","AMES","361","ANIME: FORMS AND MUTATIONS","1","15:05","17:35","7201","We"
46,1500,22582,7,2834,FALSE,FALSE,13,18,"SEM","AMI","415S","INTERETHNIC INTIMACIES","1","12:00","14:30","7214","Th"
47,1500,23,1,2709,FALSE,FALSE,3,18,"SEM","AMES","423S","INTRO MODERN ARABIC LITERATURE","1","15:05","16:20","7512","TuTh"
48,1500,22871,1,8366,FALSE,FALSE,14,18,"SEM","AMES","463S","NIGHTMARE JAPAN","1","13:25","15:55","7510","Mo"
49,1500,19765,4,4832,FALSE,FALSE,42,45,"LEC","ARTSVIS","102","INTRO ARTS OF THE MOVING IMAGE","1","15:05","18:05","7214","We"
50,1500,3845,6,4809,FALSE,FALSE,42,45,"LEC","AMI","201","INTRO TO FILM STUDIES","1","16:40","17:55","7214","ThTu"
51,1500,18102,3,4840,FALSE,FALSE,11,45,"LEC","DOCST","107","HISTORY OF DOCUMENTARY FILM","1","16:40","19:40","7201","Mo"
52,1500,21859,4,4842,FALSE,FALSE,18,18,"SEM","GERMAN","270S","FILM NOIR","1","11:45","13:00","7706","TuTh"
53,1500,4565,3,4845,FALSE,FALSE,8,30,"LEC","LIT","220","FILM GENRES","1","8:30","9:45","7232","MoFr"
54,1500,16582,5,3128,FALSE,FALSE,25,25,"LEC","AMI","254","ITALIAN CINEMA","1","10:05","11:20","7705","TuTh"
55,1500,5278,3,6465,FALSE,FALSE,10,30,"LEC","RUSSIAN","381","RUSSIAN REVOLU CINEMA","1","10:05","11:20","7206","TuTh"
56,1500,22133,3,2688,FALSE,FALSE,12,15,"SEM","VMS","281S","MOTION DESIGN","1","10:05","12:35","7261","Fr"
57,1500,4559,3,4813,FALSE,FALSE,16,15,"SEM","AMI","301S","MOVING IMAGE PRACTICE","1","13:25","14:40","7261","TuTh"
58,1500,3094,3,4655,FALSE,FALSE,17,16,"SEM","ENGLISH","317S","SCREENWRITING","1","15:05","17:35","7791","Mo"
59,1500,21370,2,4815,FALSE,FALSE,13,16,"SEM","AMI","306S","WRITING THE MOVIE","1","13:25","16:20","7214","We"
60,1500,4561,3,4816,FALSE,FALSE,7,15,"SEM","AMI","320S","FILM ANIMATION PRODUCTION","1","10:05","11:20","7214","WeFr"
61,1500,22163,3,6911,FALSE,TRUE,145,144,"LEC","VMS","288L","WEB-BASED MULTIMEDIA COMMUNIC","1","10:20","11:10","7749","Mo"
62,1500,8062,7,7744,FALSE,FALSE,12,12,"SEM","POLSCI","105S","DOC EXPER: A VIDEO APPR","1","10:05","12:35","8067","We"
63,1500,20227,2,4817,FALSE,FALSE,7,15,"SEM","AMI","334S","PRODUCING DOCU-FICTION","1","13:25","14:40","7261","MoWe"
64,1500,20829,3,7763,FALSE,FALSE,12,15,"SEM","PUBPOL","375S","VIDEO FOR SOCIAL CHANGE","1","13:25","15:55","8067","Fr"
65,1500,21119,3,7765,FALSE,FALSE,10,15,"SEM","AMI","336S","DOCUMENTARY AND POLICY","1","11:45","14:15","8067","Th"
66,1500,18104,2,4818,FALSE,FALSE,6,15,"SEM","AMI","340S","EXPERIMENTAL FILMMAKING","1","10:05","11:20","7261","WeFr"
67,1500,20113,3,6756,FALSE,FALSE,10,12,"SEM","DOCST","242S","DANCE FOR THE CAMERA","1","15:05","16:35","7207","TuTh"
68,1500,20225,1,4820,FALSE,FALSE,14,15,"SEM","AMI","356S","16MM FILM PRODUCTION","1","15:05","18:05","7261","Th"
69,1500,20226,3,4858,FALSE,FALSE,16,15,"SEM","ISIS","248S","EDITING FOR FILM AND VIDEO","1","13:25","14:40","7261","MoWe"
70,1500,23079,1,10415,FALSE,FALSE,0,18,"LEC","AMI","390","SPECIAL TOPICS IN AMI","1",NA,NA,NA,NA
71,1500,21414,1,9068,FALSE,FALSE,3,18,"SEM","AMI","490S","SPECIAL TOPICS IN AMI","1","11:45","13:00","7224","TuTh"
72,1500,15514,1,4823,FALSE,FALSE,6,18,"SEM","AMI","499S","CAPSTONE: ARTS OF MOVING IMAGE","1","18:15","21:45","7214","Th"
73,1500,506,1,2729,TRUE,FALSE,11,18,"LEC","ARABIC","101","ELEMENTARY ARABIC","1","13:25","14:40","7512","MoWe"
74,1500,512,1,2736,TRUE,FALSE,17,30,"LEC","ARABIC","203","INTERMEDIATE ARABIC","1","11:45","13:00","7510","MoWe"
75,1500,21899,1,2741,FALSE,FALSE,5,25,"LEC","ARABIC","295","ARABIC DIALECT IN MUSIC","1","16:55","18:35","7214","TuTh"
76,1500,516,1,9655,FALSE,FALSE,10,15,"LEC","ARABIC","305","ADVANCED ARABIC","1","10:20","11:50","7510","TuTh"
77,1500,22878,1,8373,FALSE,FALSE,7,18,"SEM","ARABIC","328S","LITERARY ISLAM","1","15:05","17:35","7510","We"
78,1500,524,1,2745,FALSE,FALSE,8,18,"LEC","ARABIC","407","ISSUES IN ARABIC LANG/LIT I","1","15:05","16:20","7510","TuTh"
79,1500,529,1,8924,FALSE,FALSE,3,15,"SEM","ARTHIST","89S","FIRST-YEAR SEMINAR (TOP)","1","10:05","12:05","7201","Th"
81,1500,2786,2,6876,FALSE,FALSE,42,45,"LEC","ARTHIST","205","THE AEGEAN BRONZE AGE","1","10:05","11:20","7706","TuTh"
82,1500,550,2,2474,FALSE,TRUE,15,20,"LEC","ARTHIST","225","GOTHIC CATHEDRALS","1","13:25","14:15","7704","TuTh"
83,1500,616,1,2476,FALSE,FALSE,12,35,"LEC","ARTHIST","232","JAPANESE ART, 1600-PRESENT","1","10:05","11:20","7201","TuTh"
84,1500,19348,3,2667,FALSE,FALSE,16,40,"LEC","ITALIAN","261","MICHELANGELO IN CONTEXT","1","10:05","11:20","7261","WeFr"
85,1500,601,2,2478,FALSE,FALSE,11,35,"LEC","ARTHIST","280","EUROPEAN ART 1900-1945","1","15:05","16:20","7201","MoWe"
86,1500,20168,2,2438,FALSE,FALSE,13,18,"SEM","RUSSIAN","355S","SOVIET ART AFTER STALIN","1","15:05","17:35","","Th"
87,1500,21438,1,10145,FALSE,FALSE,0,25,"LEC","ARTHIST","290","SP TOPICS IN ART HISTORY","1","16:40","17:55","7709","MoWe"
88,1500,638,2,2509,FALSE,FALSE,21,35,"LEC","ARTHIST","303","HIST PHOTO 1839-PRESENT","1","10:05","11:20","7201","TuTh"
89,1500,22780,2,2514,FALSE,FALSE,13,18,"SEM","ARTHIST","340S","CLASSICAL SCULPTURE","1","11:45","13:00","7201","TuTh"
90,1500,22958,1,9543,FALSE,FALSE,3,100,"LEC","ARTS&SCI","398-1","EDUC. & HUM. DEV. FOUNDATIONS","0.5","16:40","17:55","7765","Tu"
91,1500,964,1,7778,FALSE,FALSE,12,12,"SEM","ARTSVIS","89S","FIRST-YEAR SEMINAR (TOP)","1","10:05","12:35","8067","Fr"
92,1500,13815,3,7750,FALSE,FALSE,12,12,"SEM","ARTSVIS","115S","INTRODUCTION TO PHOTOGRAPHY","1","15:05","17:35","8067","We"
93,1500,965,1,2571,FALSE,FALSE,17,18,"LEC","ARTSVIS","199","DRAWING","1","15:05","17:35","7261","We"
94,1500,13907,2,2685,FALSE,FALSE,16,15,"LEC","VMS","206","DIGITAL IMAGING","1","10:05","12:35","7261","We"
95,1500,17875,3,7755,FALSE,FALSE,16,15,"SEM","ARTSVIS","212S","DIGITAL DOCUMENTARY PHOTOG","1","15:05","17:35","7261","We"
96,1500,977,3,7720,FALSE,FALSE,13,15,"LEC","DOCST","215","DOC PHOTO/SOUTH CULTURE","1","11:45","14:15","8067","We"
97,1500,976,1,2575,FALSE,FALSE,19,18,"SEM","ARTSVIS","219S","PHOTOGRAPHY","1","15:05","17:35","7261","Fr"
98,1500,18222,1,8921,FALSE,FALSE,8,12,"SEM","ARTSVIS","222S","THE PHOTOGRAPHIC PORTFOLIO","1","15:05","17:35","7261","Th"
99,1500,982,2,2576,FALSE,FALSE,12,12,"LEC","ARTSVIS","224","PRINTMAKING: SILKSCREEN","1","10:05","12:35","7261","Mo"
100,1500,16612,3,4653,FALSE,FALSE,5,12,"SEM","ARTSVIS","235S","LIGHTING DESIGN","1","15:05","16:20","7791","TuTh"
101,1500,20127,2,2577,FALSE,FALSE,16,20,"LEC","ARTSVIS","237","BOOK ART: TYPOGRAPHY AS IMAGE","1","10:05","12:35","7261","Th"
102,1500,17356,3,7761,FALSE,FALSE,13,13,"SEM","ARTSVIS","240S","COLOR PHOTOGRAPHY","1","19:30","22:00","8067","Mo"
103,1500,18788,4,7775,FALSE,FALSE,7,13,"SEM","ARTSVIS","460S","MULTIMEDIA DOCUMENTARY","1","15:05","17:35","8067","Th"
104,1500,18233,2,8927,FALSE,FALSE,11,18,"LEC","ARTSVIS","497S","ADVANCED VISUAL PRACTICE","1","15:05","17:35","","Tu"
105,1500,1399,1,6252,FALSE,FALSE,423,450,"LEC","BIOCHEM","301","INTRO BIOCHEMISTRY I","1","10:05","11:20","7791","MoWeFr"
106,1500,22820,1,6277,FALSE,FALSE,5,30,"LEC","BIOCHEM","401","APPLIED BIOCHEMISTRY","1","8:45","9:35","7513","MoWeFr"
107,1500,1461,1,4124,FALSE,FALSE,16,15,"SEM","BIOLOGY","89S","FIRST-YEAR SEMINAR (TOP)","1","8:30","9:45","7214","TuTh"
109,1500,1465,2,2169,FALSE,FALSE,101,100,"LEC","BIOLOGY","157","THE DYNAMIC OCEANS","1","15:05","16:20","7710","TuTh"
110,1500,1470,1,8449,FALSE,FALSE,16,25,"LEC","BIOLOGY","158","PLANTS AND HUMAN USE","1","13:25","15:55","7758","We"
111,1500,22930,1,9042,FALSE,FALSE,15,15,"LEC","BIOLOGY","162","EVOLUTION OF LIFE","1","10:05","11:20","7758","WeFr"
113,1500,20037,1,3762,FALSE,TRUE,270,272,"LEC","BIOLOGY","201L","MOLECULAR BIOLOGY","1","10:05","11:20","7758","MoWeFr"
114,1500,1477,1,3784,FALSE,TRUE,144,154,"LEC","BIOLOGY","202L","GENETICS AND EVOLUTION","1","11:45","13:00","7758","MoWeFr"
115,1500,20061,1,3793,FALSE,TRUE,11,16,"LEC","BIOLOGY","206L","ORGANISMAL DIVERSITY","1","10:05","11:20","7758","MoWe"
117,1500,1478,1,3796,FALSE,TRUE,35,36,"LEC","BIOLOGY","212L","GENERAL MICROBIOLOGY","1","11:45","12:35","7749","MoWe"
118,1500,1495,1,3799,FALSE,FALSE,22,20,"LEC","BIOLOGY","213","CELL SIGNALING AND DISEASES","1","16:40","19:10","7758","We"
119,1500,21384,1,3801,FALSE,FALSE,23,25,"LEC","BIOLOGY","219","MOLEC GENETICS AND GENOMICS","1","10:05","11:20","7758","TuTh"
120,1500,1494,1,3802,TRUE,FALSE,53,80,"LEC","BIOLOGY","220","CELL & DEVELOPMENTAL BIOLOGY","1","8:30","9:45","7765","TuTh"
121,1500,8825,3,3586,TRUE,FALSE,70,85,"LEC","PSY","275","FUNDAMENTALS NEUROSCI","1","13:25","14:40","7710","WeFr"
122,1500,1496,1,3808,TRUE,FALSE,40,40,"LEC","BIOLOGY","248","EVOLUTION OF ANIMAL FORM","1","13:25","14:40","7758","TuTh"
123,1500,12942,1,3813,FALSE,FALSE,12,30,"LEC","BIOLOGY","250","POPULATION GENETICS","1","8:30","9:45","7758","TuTh"
124,1500,19045,1,3814,FALSE,TRUE,6,12,"LEC","BIOLOGY","251L","MOLECULAR EVOLUTION","1","13:25","14:15","7758","TuTh"
125,1500,20046,2,3816,FALSE,FALSE,35,35,"LEC","BIOLOGY","262","PEOPLE, PLANTS, AND POLLUTION","1","15:05","16:20","7758","MoWe"
126,1500,21815,1,3817,FALSE,FALSE,21,20,"LEC","BIOLOGY","263","BIO RESPONSE TO CLIMATE CHANGE","1","15:05","16:20","7758","TuTh"
127,1500,12500,1,3818,TRUE,FALSE,40,40,"LEC","BIOLOGY","267","BEHAVIORAL ECOLOGY","1","11:45","13:00","7758","TuTh"
128,1500,17112,1,3903,TRUE,FALSE,26,40,"LEC","BIOLOGY","329D","PRINCIPLES ANIMAL PHYS","1","11:45","13:00","7749","TuTh"
129,1500,1482,1,3906,FALSE,TRUE,36,36,"LEC","BIOLOGY","330L","ANATOMY OF VERTEBRATES","1","10:05","11:20","7758","TuTh"
130,1500,15265,1,3910,FALSE,FALSE,17,15,"SEM","BIOLOGY","412S","SENSORY SIGNAL TRANSDUCTION","1","16:40","19:10","7758","Th"
131,1500,17426,1,3911,FALSE,TRUE,12,12,"SEM","BIOLOGY","414LS","EXP DEV AND MOL GENETICS","1","13:25","15:00","7758","MoWe"
132,1500,12704,1,3913,FALSE,FALSE,15,15,"SEM","BIOLOGY","417S","GENETIC ENGINEER/BIOTECH","1","15:05","17:35","7738","Tu"
133,1500,20040,3,4130,FALSE,FALSE,17,15,"SEM","NEUROSCI","421S","BIO OF NERVOUS SYSTEM DISEASES","1","13:25","14:40","7776","TuTh"
134,1500,20044,2,3915,FALSE,FALSE,5,15,"SEM","BIOLOGY","423S","DEVELOPMENTAL NEUROBIOLOGY","1","10:05","11:20","7758","TuTh"
135,1500,20485,2,3916,FALSE,FALSE,11,15,"SEM","BIOLOGY","426S","VISUAL PROCESSING","1","15:05","16:20","7758","TuTh"
136,1500,20752,1,3917,FALSE,FALSE,15,15,"SEM","BIOLOGY","452S","GENES & DEVELOPMENT","1","15:05","17:35","7758","We"
137,1500,1623,1,3918,FALSE,FALSE,13,15,"SEM","BIOLOGY","490S","SEMINAR (TOPICS)","1","11:45","13:00","7758","MoWe"
138,1500,13023,2,9016,FALSE,TRUE,50,72,"LEC","BME","102","INTRO BIOSTATISTICS","1","15:05","16:20","7710","MoWe"
140,1500,21163,1,5266,FALSE,FALSE,40,48,"LEC","BME","244L","QUANT PHYSIOLOGY BIOSTAT APPL","1","13:25","14:40","7766","TuTh"
141,1500,13022,1,5272,FALSE,TRUE,23,24,"LEC","BME","260L","MODELS CELL AND MOL SYSTEMS","1","8:30","9:45","7747","TuTh"
142,1500,1649,1,5277,FALSE,FALSE,45,48,"LEC","BME","271","SIGNALS AND SYSTEMS","1","8:30","9:45","7747","MoWe"
143,1500,15631,1,5278,FALSE,TRUE,30,48,"LEC","BME","354L","INTRO MEDICAL INSTRUMENTATION","1","10:05","11:20","7766","TuTh"
144,1500,21644,1,5280,FALSE,TRUE,18,18,"LEC","BME","432L","BIOMECH VEHICLE SAFETY EGR","1","13:25","14:40","7766","WeFr"
145,1500,1700,1,5282,FALSE,TRUE,20,28,"LEC","BME","460L","DEVICES FOR PPL W/DISABILITES","1","11:45","13:00","7735","TuTh"
146,1500,17434,1,5285,FALSE,TRUE,18,18,"LEC","BME","462L","DESIGN DEVELOPING WORLD","1","13:25","14:40","7747","TuTh"
147,1500,1702,1,5287,FALSE,TRUE,20,20,"LEC","BME","464L","MEDICAL INSTRUMENT DSGN","1","8:30","9:45","7747","WeFr"
148,1500,22072,1,10622,FALSE,TRUE,4,4,"LEC","BME","490L","SPEC TOPICS IN BME DESIGN","1","8:30","9:45",NA,"MoWe"
149,1500,20116,1,7909,FALSE,FALSE,17,18,"SEM","CANADIAN","89S","FIRST YEAR SEMINAR","1","10:05","11:20","7214","TuTh"
150,1500,21406,4,6529,FALSE,FALSE,15,15,"SEM","PUBPOL","216S","THE U.S. BORDER","1","10:05","11:20","7725","TuTh"
151,1500,3749,1,6989,FALSE,TRUE,22,48,"LEC","CEE","160L","INTRO TO ENVIRON EGR AND SCI","1","10:05","11:20","7747","MoWe"
152,1500,16875,1,6992,FALSE,FALSE,11,12,"LEC","CEE","205","PRACTICAL METHODS IN CE","0.5","11:45","13:00","SEE INSTR","TuTh"
153,1500,2107,1,6994,FALSE,TRUE,11,30,"LEC","CEE","301L","FLUID MECHANICS","1","12:00","12:50","7747","MoWeFr"
154,1500,2127,1,6997,FALSE,FALSE,13,25,"LEC","CEE","311","ARCH ENGINEERING I","1","18:15","19:30","7747","TuTh"
155,1500,22832,3,2172,FALSE,FALSE,18,30,"LEC","ENVIRON","322","HYDROLOGIC DATA ANALYSIS","1","8:30","9:45","7768","TuTh"
156,1500,2116,1,6998,FALSE,TRUE,12,24,"LEC","CEE","421L","MATRIX STRUCT ANALYSIS","1","11:45","13:00","7747","TuTh"
157,1500,2120,1,7000,FALSE,TRUE,17,21,"LEC","CEE","423L","METALLIC STRUCTURES","1","10:05","11:20","7747","MoWe"
158,1500,2105,1,7004,FALSE,TRUE,23,30,"LEC","CEE","461L","CHEM PRINCIPLES IN ENV ENG","1","13:25","14:40","7768","MoWe"
159,1500,2109,1,7007,FALSE,TRUE,11,20,"LEC","CEE","463L","WATER RESOURCES EGR","1","13:25","14:40","7747","TuTh"
160,1500,2315,1,4631,FALSE,FALSE,35,150,"LEC","CHEM","91","CHEM/TECHNOL/SOCIETY","1","15:05","16:20","7738","MoWe"
161,1500,19341,1,4632,TRUE,FALSE,52,90,"LEC","CHEM","99D","INTRODUCTION TO CHEMISTRY","1","8:30","9:45","7765","Mo"
162,1500,19342,1,4368,TRUE,FALSE,270,275,"LEC","CHEM","101DL","CORE CONCEPTS IN CHEMISTRY","1","11:45","13:00","7765","MoWe"
163,1500,19344,1,4431,TRUE,FALSE,122,150,"LEC","CHEM","110DL","HONORS CHEMISTRY","1","10:05","11:20","7738","MoWe"
164,1500,18705,1,4444,FALSE,TRUE,7,8,"LEC","CHEM","180","CHEMISTRY OUTREACH","1","15:05","16:20","7738","Tu"
165,1500,2333,1,4447,TRUE,FALSE,158,170,"LEC","CHEM","201DL","ORGANIC CHEMISTRY","1","8:45","9:35","7738","MoWeFr"
166,1500,2338,1,4487,FALSE,FALSE,30,40,"LEC","CHEM","202L","ORGANIC CHEMISTRY","1","10:20","11:10","7758","MoWeFr"
167,1500,19343,1,4507,TRUE,FALSE,93,120,"LEC","CHEM","210DL","MOD APPS CHEM PRINCIPLES","1","8:30","9:45","7738","TuTh"
168,1500,18704,1,4521,FALSE,FALSE,16,25,"LEC","CHEM","295","INTRO TO RESEARCH IND. STUDY","0.5","18:15","19:30","7738","Mo"
169,1500,2350,1,4522,FALSE,FALSE,38,50,"LEC","CHEM","301","ELEMENTS PHYSICAL CHEM","1","8:45","9:35","7749","MoWeFr"
170,1500,2358,1,4523,FALSE,FALSE,9,30,"LEC","CHEM","310","PHYSICAL CHEMISTRY","1","8:45","9:35","7765","MoWeFr"
171,1500,2327,1,4571,FALSE,FALSE,38,60,"LEC","CHEM","401","ANALYTICAL CHEMISTRY","1","11:45","13:00","7765","TuTh"
172,1500,17911,2,6843,FALSE,FALSE,16,18,"SEM","CHILDPOL","250S","CHILD POLICY RESEARCH","1","10:05","11:20","7709","TuTh"
173,1500,2404,1,2749,TRUE,FALSE,27,30,"LEC","CHINESE","101","FIRST-YEAR CHINESE I","1","11:45","12:35","7512","TuTh"
174,1500,2413,1,2756,TRUE,FALSE,3,18,"LEC","CHINESE","131","LITERACY IN CHINESE I","1","8:30","9:45","7228","TuTh"
175,1500,2415,1,9648,TRUE,FALSE,1,1,"LEC","CHINESE","203","INTERMEDIATE CHINESE","1","18:15","19:05","SEE INSTR","MoWe"
176,1500,2424,1,2767,FALSE,FALSE,8,18,"LEC","CHINESE","305","ADVANCED CHINESE","1","8:30","9:50","7512","MoWeFr"
177,1500,2432,1,2770,FALSE,FALSE,15,18,"LEC","CHINESE","333","ADVANCED LITERACY IN CHINESE","1","13:40","14:55","7224","MoWeFr"
178,1500,15627,1,2773,FALSE,FALSE,10,18,"SEM","CHINESE","407S","ISSUES IN CHINESE LANG/SOC I","1","15:05","16:45","7512","TuTh"
179,1500,2446,1,2774,FALSE,FALSE,10,18,"SEM","CHINESE","435S","READINGS CONTEMP CHINESE LIT I","1","15:05","16:45","7512","TuTh"
180,1500,17278,1,2775,FALSE,FALSE,15,18,"LEC","CHINESE","455","MODERN CHINESE CULTURE","1","15:05","17:35","7512","Mo"
181,1500,2759,1,6848,FALSE,FALSE,17,30,"LEC","CLST","144","PRINCIPLES ARCHAEOLOGY","1","10:05","11:20","7705","MoWe"
182,1500,2730,2,6849,FALSE,FALSE,30,50,"LEC","CLST","283","GREEK HISTORY","1","11:45","13:00","7201","MoWe"
183,1500,2796,1,10029,FALSE,FALSE,0,25,"LEC","CLST","290","SPECIAL TOPICS","1","16:40","17:55","7709","MoWe"
184,1500,2747,3,6872,FALSE,FALSE,11,24,"LEC","THEATRST","227","DRAMA OF GREECE & ROME","1","13:25","14:40","7753","TuTh"
185,1500,21052,3,6874,FALSE,FALSE,27,30,"LEC","HISTORY","240","GREEK AND ROMAN LAW","1","13:25","14:40","7749","WeFr"
186,1500,7724,2,5517,FALSE,FALSE,32,35,"LEC","CLST","371","ARISTOTLE","1","13:25","14:40","7232","TuTh"
187,1500,14361,1,6764,FALSE,TRUE,160,190,"LEC","COMPSCI","101L","INTRO TO COMPUTER SCIENCE","1","13:25","14:40","7776","TuTh"
189,1500,22156,4,6902,FALSE,FALSE,21,47,"LEC","PHIL","110","INFORMATION, SOCIETY & CULTURE","1","10:05","11:20","7261","TuTh"
